Scenario,Campaign,Start_Year__KP_LAPrEP_Start_Year,End_Year__KP_LAPrEP_End_Year,Start_Year__KP_LAPrEP_AGYW_Start_Year,Start_Year__KP_LAPrEP_Females_Start_Year,Start_Year__KP_LAPrEP_Males_Start_Year,Start_Year__KP_LAPrEP_RandomPop_Start_Year,Start_Year__KP_LAPrEP_HighRisk_Start_Year,Waning_Config__KP_LAPrEP_Waning.Initial_Effect,Waning_Config__KP_OralPrEP_Waning.Initial_Effect,Time_Value_Map__KP_LAPrEP_OtherPops_OnOff.Times,Time_Value_Map__KP_LAPrEP_OtherPops_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_6_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_6_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_4_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_4_OnOff.Values,Time_Value_Map__KP_LAPrEP_VOICE_2_OnOff.Times,Time_Value_Map__KP_LAPrEP_VOICE_2_OnOff.Values,Start_Year__KP_OralPrEP_Continuation_2023Level_StartYear,Start_Year__KP_OralPrEP_Continuation_20222023Ratio_StartYear,Time_Value_Map__KP_OralPrEPContinuationF25to99LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationF15to99H_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationF15to25LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationM15to99LM_OnOff.Values,Time_Value_Map__KP_OralPrEPContinuationM15to99H_OnOff.Values,Waning_Config__KP_LAPrEP_Waning.Durability_Map.Times,Waning_Config__KP_LAPrEP_Waning.Durability_Map.Values,Start_Year__KP_LAPrEP_2024Switch_StartYear,Time_Value_Map__KP_LAPrEPSwitchF25to99LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchF15to99H_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchF15to25LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchM15to99LM_OnOff.Values,Time_Value_Map__KP_LAPrEPSwitchM15to99H_OnOff.Values,Waning_Config__KP_LAPrEPSwitch_waning.Durability_Map.Times,Waning_Config__KP_LAPrEP_OtherPops_Waning.Durability_Map.Times
Sens2026VOICE6LAEffect70,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LAEffect70,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LAEffect70,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LAEffect70,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE4LAEffect70,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE2LAEffect70,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.7,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE6LAEffect95,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.95,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE4LAEffect95,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.95,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2026VOICE2LAEffect95,campaign_cpnPrEPDelays.json,2026,2046,2099,2099,2099,2099,2099,0.95,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2026,2031,2046.99,2047]","[0.0,0.50,0.50,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
Sens2030VOICE6LAEffect95,campaign_cpnPrEPDelays.json,2030,2046,2099,2099,2099,2099,2099,0.95,0.63,"[2097,2098,2098.5,2099]","[0.000,0.000,0.000,0.000]","[2030,2035,2046.99,2047]","[0.0,0.50,0.50,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]","[2030,2035,2046.99,2047]","[0.0,0.0,0.0,0.0]",2024.5,2099,"[0.0,0.011,0.011]","[0.0,0.20,0.20]","[0.0,0.041,0.041]","[0.0,0.0071,0.0071]","[0.0,0.013,0.013]","[0,180,181]","[1,1,1]",2099,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0,180,181]","[0,180,181]"
